Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,BFH,BFD,BFA,PSH,PSD,PSA,WHH,WHD,WHA,1XBH,1XBD,1XBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,BFCH,BFCD,BFCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,1XBCH,1XBCD,1XBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,09/05/2025,19:45,Charleroi,Westerlo,4,3,H,1,2,A,,17,13,8,6,7,15,4,7,2,6,0,1,1.62,4.33,4.5,,,,1.91,3.8,3.6,1.69,4.44,4.54,,,,1.68,4.42,4.47,1.91,4.6,4.7,1.68,4.26,4.33,1.93,4,3.75,1.44,2.7,1.47,2.78,1.53,2.78,1.44,2.69,1.58,2.48,-0.75,1.85,2,1.87,2.04,1.9,2.05,1.83,1.98,,,1.65,4.33,4.5,,,,1.55,4.4,5,1.69,4.39,4.57,,,,1.67,4.45,4.82,1.69,4.5,5,1.65,4.34,4.5,1.73,4.5,4.8,1.4,2.88,1.45,2.83,1.48,2.88,1.44,2.74,1.5,2.96,-0.75,1.83,2.03,1.87,2.04,1.87,2.13,1.81,2.03,1.9,2.08
B1,10/05/2025,15:00,Beerschot VA,Cercle Brugge,4,2,H,0,1,A,,13,24,7,7,6,12,5,9,3,2,0,0,5,4.5,1.57,,,,5.5,4,1.57,5.52,4.41,1.54,,,,5.39,4.43,1.57,5.52,4.5,1.58,5.23,4.34,1.56,1.47,1.35,1.64,1.62,2.25,1.65,2.28,1.65,2.32,1.62,2.24,,,1,1.9,1.95,1.93,1.94,1.93,2,1.88,1.93,,,5,4.75,1.55,,,,5.5,4.33,1.5,5.75,4.41,1.52,,,,5.12,4.86,1.59,5.75,4.86,1.59,5.24,4.47,1.54,6,4.7,1.61,1.53,2.4,1.55,2.48,1.61,2.48,1.54,2.41,1.62,2.54,1,1.93,1.93,1.96,1.89,1.96,1.99,1.93,1.91,1.97,1.98
B1,10/05/2025,15:00,Kortrijk,St Truiden,2,2,D,2,2,D,,18,16,6,7,5,8,3,7,0,1,0,0,3.1,3.6,2.2,,,,3,3.5,2.2,3.17,3.53,2.22,,,,3.17,3.57,2.22,3.17,3.65,2.22,3.07,3.52,2.19,1.04,1.01,1.04,1.73,2.08,1.78,2.09,1.78,2.09,1.74,2.05,,,0.25,1.93,1.93,1.93,1.93,1.93,1.96,1.89,1.9,,,3.25,3.8,2.05,,,,3.25,3.6,2,3.43,3.62,2.07,,,,3.28,3.84,2.15,3.43,3.84,2.15,3.24,3.65,2.08,3.45,3.95,2.16,1.57,2.35,1.63,2.29,1.71,2.48,1.62,2.27,1.64,2.5,0.25,2.03,1.78,2.06,1.81,2.09,1.85,2.02,1.82,2.11,1.88
B1,10/05/2025,17:15,Mechelen,Standard,0,0,D,0,0,D,,20,5,2,2,6,12,13,1,2,3,0,1,1.73,3.9,4.33,,,,1.8,3.7,4.1,1.73,3.92,4.53,,,,1.75,3.97,4.44,1.8,3.97,4.53,1.73,3.86,4.32,1.04,2.02,2.02,1.73,2.08,1.74,2.12,1.81,2.12,1.73,2.07,,,-0.75,1.98,1.88,1.96,1.91,2.07,1.91,1.94,1.86,,,1.53,4.5,5.25,,,,1.44,4.2,5.5,1.53,4.56,5.99,,,,1.58,4.65,5.42,1.58,4.65,5.99,1.52,4.43,5.55,1.54,4.8,6.6,1.6,2.3,1.62,2.39,1.68,2.4,1.61,2.29,1.64,2.48,-1,1.85,2,1.89,2.01,1.91,2.03,1.85,1.98,1.86,2.08
B1,10/05/2025,19:45,Anderlecht,St. Gilloise,0,1,A,0,1,A,,6,7,2,3,11,12,2,4,2,4,0,0,3.4,3.3,2.15,,,,3.1,3.3,2.2,3.6,3.17,2.19,,,,3.53,3.24,2.2,3.6,3.45,2.21,3.39,3.23,2.17,1.04,1.01,1.04,2.05,1.8,2.08,1.76,2.08,1.85,2.01,1.78,,,0.25,1.98,1.88,2,1.88,2,1.91,1.95,1.86,,,3.5,3.3,2.15,,,,3.5,3.1,2,3.75,3.28,2.16,,,,3.84,3.38,2.1,3.9,3.38,2.16,3.63,3.25,2.1,3.85,3.4,2.2,2.05,1.75,2.1,1.79,2.24,1.79,2.07,1.75,2.2,1.81,0.25,2.03,1.83,2.06,1.85,2.1,1.85,2.04,1.81,2.11,1.88
B1,11/05/2025,12:30,Gent,Antwerp,0,3,A,0,2,A,,16,7,6,3,11,11,4,5,2,2,1,0,2.6,3.4,2.6,,,,2.45,3.4,2.63,2.62,3.53,2.6,,,,2.62,3.61,2.58,2.62,3.8,2.63,2.56,3.52,2.56,1.04,1.01,1.04,1.67,2.15,1.66,2.25,1.67,2.25,1.65,2.19,,,0,1.9,1.9,1.93,1.92,1.93,1.95,1.91,1.91,,,2.7,3.6,2.38,,,,2.6,3.5,2.3,2.79,3.78,2.44,,,,2.69,3.73,2.55,2.79,3.78,2.55,2.69,3.64,2.41,2.84,3.85,2.54,1.5,2.5,1.51,2.63,1.56,2.63,1.52,2.48,1.59,2.64,0,2.03,1.78,2.1,1.83,2.1,1.86,2.04,1.82,2.1,1.89
B1,11/05/2025,17:30,Genk,Club Brugge,0,2,A,0,1,A,,10,13,3,3,8,13,5,3,2,3,1,0,3.4,3.7,2,,,,3.1,3.5,2.1,3.51,3.74,2,,,,3.51,3.73,2.03,3.7,3.78,2.1,3.4,3.66,2.01,1.08,1.57,1.42,1.62,2.25,1.65,2.27,1.66,2.27,1.63,2.22,,,0.5,1.83,2.03,1.85,2.01,1.85,2.08,1.82,2.01,,,3.6,3.8,1.9,,,,3.5,3.75,1.95,3.78,3.96,1.93,,,,3.88,3.93,1.93,3.88,3.96,2,3.6,3.83,1.93,3.75,4,2.04,1.53,2.4,1.57,2.51,1.63,2.51,1.56,2.4,1.6,2.6,0.5,1.95,1.9,1.96,1.94,2.01,1.98,1.9,1.94,1.94,2.04
B1,11/05/2025,18:15,Dender,Oud-Heverlee Leuven,5,0,H,4,0,H,,16,14,7,2,10,18,3,5,0,2,0,0,2.38,3.4,2.8,,,,2.4,3.3,2.8,2.44,3.45,2.85,,,,2.41,3.63,2.8,2.44,3.63,2.85,2.39,3.44,2.79,1.07,1.14,1.07,1.73,2.08,1.74,2.12,1.77,2.12,1.73,2.07,,,0,1.73,2.08,1.78,2.09,1.8,2.09,1.77,2.06,,,2.4,3.5,2.7,,,,2.25,3.3,2.75,2.51,3.57,2.82,,,,2.5,3.64,2.81,2.51,3.64,2.86,2.4,3.51,2.76,2.48,3.6,3,1.6,2.3,1.65,2.32,1.7,2.35,1.63,2.25,1.69,2.4,0,1.83,2.03,1.84,2.08,1.84,2.11,1.81,2.06,1.8,2.21
D1,09/05/2025,19:30,Wolfsburg,Hoffenheim,2,2,D,1,1,D,,14,17,5,7,11,10,5,6,0,2,0,0,2.2,3.6,2.9,,,,2.2,3.6,3.1,2.3,3.77,2.99,,,,2.37,3.83,3.02,2.39,3.83,3.1,2.29,3.7,2.94,2.34,3.8,3.2,1.5,2.63,1.52,2.6,1.52,2.63,1.5,2.57,1.62,2.56,-0.25,2.03,1.87,2.02,1.89,2.06,1.89,1.99,1.84,2.03,1.95,2.8,3.6,2.3,,,,2.63,3.5,2.5,2.98,3.62,2.4,,,,2.79,3.73,2.47,2.98,3.73,2.54,2.77,3.61,2.46,2.86,3.75,2.58,1.5,2.63,1.53,2.62,1.53,2.7,1.49,2.61,1.55,2.78,0.25,1.85,2.05,1.85,2.09,1.85,2.23,1.77,2.07,1.8,2.23
D1,10/05/2025,14:30,Bochum,Mainz,1,4,A,0,1,A,,11,22,6,8,9,6,6,6,3,0,0,0,2.9,3.6,2.3,,,,3,3.6,2.3,3,3.73,2.31,,,,3.06,3.89,2.32,3.06,3.89,2.32,2.95,3.68,2.27,3.05,3.75,2.4,1.67,2.2,1.66,2.31,1.7,2.33,1.64,2.26,1.62,2.18,0.25,1.88,2.02,1.88,2.03,1.88,2.03,1.85,1.94,1.89,2.08,3,3.8,2.15,,,,2.88,3.6,2.1,3.16,3.9,2.2,,,,3.22,3.91,2.15,3.22,4,2.25,3.07,3.83,2.16,3.15,4,2.26,1.57,2.38,1.58,2.5,1.61,2.51,1.56,2.44,1.59,2.66,0.25,1.95,1.95,1.99,1.93,1.99,1.95,1.95,1.87,1.99,1.98
